STA,Borough
BAY PARKWAY,Brooklyn
BAY RIDGE AVE,Brooklyn
BAY RIDGE–95 ST,Brooklyn
BAYCHESTER AVE,The Bronx
BEACH 25 ST,Queens
BEACH 36 ST,Queens
BEACH 44 ST,Queens
BEACH 60 ST,Queens
BEACH 67 ST,Queens
BEACH 90 ST,Queens
BEACH 98 ST,Queens
BEACH 105 ST,Queens
BEDFO  AVE,Brooklyn
BEDFO  PARK BOULEVA ,The Bronx
BEDFO  PARK BOULEVA –LEHMAN COLLEGE,The Bronx
BEDFO –NOSTRAND AVES,Brooklyn
BERGEN ST,Brooklyn
BEVERLEY ROAD,Brooklyn
BEVERLY ROAD,Brooklyn
BOROUGH HALL/COURT ST,Brooklyn
BOWERY,Manhattan
BOWLING GREEN,Manhattan
BRIARWOOD,Queens
BRIGHTON BEACH†,Brooklyn
BROAD CHANNEL†,Queens
BROAD ST†,Manhattan
BROADWAY,Queens
BROADWAY,Brooklyn
BROADWAY JUNCTION,Brooklyn
BROADWAY–LAFAYETTE ST/BLEECKER ST,Manhattan
BRONX PARK EAST,The Bronx
BROOK AVE,The Bronx
BROOKLYN BRIDGE–CITY HALL/CHAMBERS ST†,Manhattan
BUHRE AVE,The Bronx
BURKE AVE,The Bronx
BURNSIDE AVE,The Bronx
BUSHWICK AVE–ABE EEN ST,Brooklyn
CANAL ST,Manhattan
CANARSIE–ROCKAWAY PARKWAY†,Brooklyn
CASTLE HILL AVE,The Bronx
CATHEDRAL PARKWAY–110 ST,Manhattan
CARROLL ST,Brooklyn
CENTRAL AVE,Brooklyn
CENTRAL PARK NORTH–110 ST,Manhattan
CHAMBERS ST,Manhattan
"CHAMBERS ST–WORLD TRADE CENTER/
PARK PL/CORTLANDT ST†",Manhattan
CHAUNCEY ST,Brooklyn
CHRISTOPHER ST–SHERIDAN SQUARE,Manhattan
CHURCH AVE,Brooklyn
CHURCH AVE†,Brooklyn
CITY HALL,Manhattan
CLARK ST,Brooklyn
CLASSON AVE,Brooklyn
CLEVELAND ST,Brooklyn
CLINTON–WASHINGTON AVES,Brooklyn
CONEY ISLAND–STILLWELL AVE†,Brooklyn
CORTELYOU ROAD,Brooklyn
COURT SQUARE–23  ST†,Queens
CRESCENT ST,Brooklyn
CROWN HEIGHTS–UTICA AVE†,Brooklyn
CYPRESS AVE,The Bronx
CYPRESS HILLS,Brooklyn
DEKALB AVE,Brooklyn
DELANCEY ST/ESSEX ST,Manhattan
DITMAS AVE,Brooklyn
DYCKMAN ST,Manhattan
EA 105 ST,Brooklyn
EA 143  ST–ST. MARY'S ST,The Bronx
EA 149 ST,The Bronx
EA 180 ST,The Bronx
EA BROADWAY,Manhattan
EASTCHESTER–DYRE AVE†,The Bronx
EASTERN PARKWAY–BROOKLYN MUSEUM,Brooklyn
ELDER AVE,The Bronx
ELMHUR AVE,Queens
EUCLID AVE†,Brooklyn
FAR ROCKAWAY–MOTT AVE†,Queens
FLATBUSH AVE–BROOKLYN COLLEGE†,Brooklyn
FLUSHING AVE,Brooklyn
FLUSHING–MAIN ST†,Queens
FO HAM ROAD,The Bronx
FORE AVE,Queens
FORE HILLS–71 AVE†,Queens
FORT HAMILTON PARKWAY,Brooklyn
FRANKLIN AVE/BOTANIC GA EN,Brooklyn
FRANKLIN AVE†,Brooklyn
FRANKLIN ST,Manhattan
FREEMAN ST,The Bronx
FRESH POND ROAD,Queens
FULTON ST,Manhattan
FULTON ST,Brooklyn
GATES AVE,Brooklyn
GRAHAM AVE,Brooklyn
GRAND ARMY PLAZA,Brooklyn
GRAND AVE–NEWTOWN,Queens
GRAND CENTRAL–42ND ST†,Manhattan
GRAND ST,Manhattan
GRAND ST,Brooklyn
GRANT AVE,Brooklyn
GREENPOINT AVE,Brooklyn
GUN HILL ROAD,The Bronx
HALSEY ST,Queens
HALSEY ST,Brooklyn
HARLEM–148 ST†,Manhattan
HEWES ST,Brooklyn
HIGH ST,Brooklyn
HOUSTON ST,Manhattan
HOYT ST,Brooklyn
HOYT–SCHERMERHORN STS,Brooklyn
HOWA  BEACH–JFK AIRPORT,Queens
HUNTS POINT AVE,The Bronx
HUNTERS POINT AVE,Queens
INTERVALE AVE,The Bronx
INWOOD–207 ST†,Manhattan
JACKSON AVE,The Bronx
JACKSON HEIGHTS–ROOSEVELT AVE/74 ST,Queens
JAMAICA CENTER–PARSONS/ARCHER†,Queens
JAMAICA–179 ST†,Queens
JAMAICA–VAN WYCK,Queens
JAY ST–METROTECH,Brooklyn
JEFFERSON ST,Brooklyn
JUNCTION BOULEVA ,Queens
JUNIUS ST,Brooklyn
KEW GA ENS–UNION TURNPIKE,Queens
KINGS HIGHWAY,Brooklyn
KINGSBRIDGE ROAD,The Bronx
KINGSTON AVE,Brooklyn
KINGSTON–THROOP AVES,Brooklyn
KNICKERBOCKER AVE,Brooklyn
KOSCIUSZKO ST,Brooklyn
LAFAYETTE AVE,Brooklyn
LEXINGTON AVE/51 ST,Manhattan
LEXINGTON AVE/59 ST,Manhattan
LEXINGTON AVE–63  ST,Manhattan
LIBERTY AVE,Brooklyn
LIVONIA AVE,Brooklyn
LONGWOOD AVE,The Bronx
LORIMER ST,Brooklyn
MARBLE HILL–225 ST,Manhattan
MARCY AVE,Brooklyn
METROPOLITAN AVE/LORIMER ST,Brooklyn
METS–WILLETS POINT,Queens
MIDDLE VILLAGE–METROPOLITAN AVE†,Queens
MIDDLETOWN ROAD,The Bronx
MONTROSE AVE,Brooklyn
MORGAN AVE,Brooklyn
MORRIS PARK,The Bronx
MORRISON AVE–SOUNDVIEW,The Bronx
MOSHOLU PARKWAY,The Bronx
MOUNT EDEN AVE,The Bronx
MYRTLE AVE,Brooklyn
MYRTLE–WILLOUGHBY AVES,Brooklyn
MYRTLE–WYCKOFF AVES,Brooklyn
NASSAU AVE,Brooklyn
NECK ROAD,Brooklyn
NEPTUNE AVE,Brooklyn
NEREID AVE,The Bronx
NEVINS ST,Brooklyn
NEW LOTS AVE,Brooklyn
NEW LOTS AVE†,Brooklyn
NEWKIRK AVE–LITTLE HAITI,Brooklyn
NEWKIRK PLAZA,Brooklyn
NORTHERN BOULEVA ,Queens
NORWOOD AVE,Brooklyn
NORWOOD–205 ST†,The Bronx
NOSTRAND AVE,Brooklyn
OCEAN PARKWAY,Brooklyn
OZONE PARK–LEFFERTS BOULEVA †,Queens
PARK PL,Brooklyn
PARKCHESTER,The Bronx
PARKSIDE AVE,Brooklyn
PARSONS BOULEVA ,Queens
PELHAM BAY PARK†,The Bronx
PELHAM PARKWAY,The Bronx
PENNSYLVANIA AVE,Brooklyn
PRESIDENT ST–MEDGAR EVERS COLLEGE,Brooklyn
PRINCE ST,Manhattan
PROSPECT AVE,Brooklyn
PROSPECT AVE,The Bronx
PROSPECT PARK†,Brooklyn
QUEENS PLAZA,Queens
QUEENSBORO PLAZA,Queens
RALPH AVE,Brooklyn
RECTOR ST,Manhattan
ROCKAWAY AVE,Brooklyn
ROCKAWAY BOULEVA ,Queens
ROCKAWAY PARK–BEACH 116 ST†,Queens
ROOSEVELT ISLAND,Manhattan
ST. LAWRENCE AVE,The Bronx
SARATOGA AVE,Brooklyn
SENECA AVE,Queens
SHEEPSHEAD BAY,Brooklyn
SHEPHE  AVE,Brooklyn
SIMPSON ST,The Bronx
SMITH–NIN STS,Brooklyn
SOU FERRY/WHITEHALL ST†,Manhattan
SPRING ST,Manhattan
STEINWAY ST,Queens
STERLING ST,Brooklyn
SUTPHIN BOULEVA ,Queens
SUTPHIN BOULEVA –ARCHER AVE–JFK AIRPORT,Queens
SUTTER AVE,Brooklyn
SUTTER AVE–RUTLAND ROAD,Brooklyn
TIMES SQUARE–42ND ST/PORT AUTHORITY BUS TERMINAL†,Manhattan
TREMONT AVE,The Bronx
UNION ST,Brooklyn
UTICA AVE,Brooklyn
VAN CORTLANDT PARK–242ND ST†,The Bronx
VAN SICLEN AVE,Brooklyn
VERNON BOULEVA –JACKSON AVE,Queens
WAKEFIELD–241 ST†,The Bronx
WALL ST,Manhattan
WE FOUR ST–WASHINGTON SQUARE,Manhattan
WE EIGH ST–NEW YORK AQUARIUM,Brooklyn
WE FARMS SQUARE–EA TREMONT AVE,The Bronx
WESTCHESTER SQUARE–EA TREMONT AVE,The Bronx
WHITLOCK AVE,The Bronx
WILSON AVE,Brooklyn
WINTHROP ST,Brooklyn
WOODHAVEN BOULEVA ,Queens
WOODLAWN†,The Bronx
WTC CORTLANDT,Manhattan
YORK ST,Brooklyn
ZEREGA AVE,The Bronx
